,icont,frequency,vc,vb,mode,corner,temperature,bias_current
0,2.5e-05,5e-07,0.910382,0.683092,C-coupled,ss,27.0,2.5e-05
1,0.000125,3068860.0,1.39256,0.525027,full-RC,tt,75.0,0.000125
2,0.00025,4268470.0,1.70237,0.37636,C-decoupled,tt,27.0,0.00025
3,0.0001,2993890.0,1.24807,0.501567,full-RC,tt,27.0,0.0001
4,0.000225,3791660.0,1.6461,0.371255,full-RC,sf,50.0,0.000225
5,0.00015,3265590.0,1.48837,0.557393,C-decoupled,ff,100.0,0.00015
6,2.5e-05,362246.0,0.915048,0.852316,full-RC,fs,75.0,2.5e-05
7,5e-05,1869740.0,1.01746,0.629314,schematic,sf,75.0,5e-05
8,0.000225,3836920.0,1.75856,0.428435,schematic,sf,100.0,0.000225
9,0.00015,3264930.0,1.52177,0.469224,full-RC,ss,75.0,0.00015
10,7.5e-05,2455670.0,1.19546,0.644551,C-decoupled,fs,50.0,7.5e-05
11,0.00025,4152080.0,1.70237,0.37636,C-coupled,tt,27.0,0.00025
12,0.0002,3844300.0,1.65716,0.457582,schematic,tt,75.0,0.0002
13,0.0002,3862920.0,1.61976,0.484361,schematic,ff,75.0,0.0002
14,0.00015,3364830.0,1.48459,0.439186,C-coupled,ss,50.0,0.00015
15,7.5e-05,2268210.0,1.1613,0.592819,full-RC,sf,100.0,7.5e-05
16,0.000175,3579050.0,1.58185,0.533518,schematic,ff,100.0,0.000175
17,0.000175,3618060.0,1.56794,0.491932,C-coupled,fs,50.0,0.000175
18,2.5e-05,826569.0,0.911683,0.640982,schematic,ss,0.0,2.5e-05
19,0.000225,3847940.0,1.72321,0.39051,full-RC,ss,50.0,0.000225
20,0.0001,2648740.0,1.31501,0.596391,C-coupled,tt,100.0,0.0001
21,0.000125,3366720.0,1.33686,0.464975,C-coupled,tt,27.0,0.000125
22,0.00015,4039790.0,1.34995,0.358484,schematic,sf,0.0,0.00015
23,0.0002,3623980.0,1.61849,0.484324,C-coupled,ff,75.0,0.0002
24,0.00025,4477230.0,1.68031,0.387879,full-RC,fs,0.0,0.00025
25,0.0002,4794510.0,1.5076,0.386321,schematic,fs,-25.0,0.0002
26,0.0001,3121610.0,1.24807,0.501567,C-decoupled,tt,27.0,0.0001
27,0.000225,5e-07,1.6188,0.335168,C-coupled,ss,0.0,0.000225
28,7.5e-05,3050870.0,1.08857,0.423463,schematic,sf,-25.0,7.5e-05
29,0.000125,3426030.0,1.33118,0.442346,schematic,sf,50.0,0.000125
30,0.0002,3542400.0,1.62035,0.412911,C-coupled,sf,75.0,0.0002
31,2.5e-05,460349.0,0.917189,0.776378,schematic,fs,27.0,2.5e-05
32,0.000125,3120290.0,1.39256,0.525027,C-decoupled,tt,75.0,0.000125
33,2.5e-05,391025.0,0.917062,0.812682,C-coupled,fs,50.0,2.5e-05
34,0.0002,3555130.0,1.74606,0.532325,C-decoupled,fs,100.0,0.0002
35,0.0001,2707570.0,1.32479,0.620238,full-RC,fs,75.0,0.0001
36,0.0001,2860590.0,1.25744,0.507996,C-decoupled,sf,75.0,0.0001
37,2.5e-05,726148.0,0.857243,0.651357,C-decoupled,sf,27.0,2.5e-05
38,0.0002,3947330.0,1.53116,0.357586,C-decoupled,sf,27.0,0.0002
39,0.000125,3098120.0,1.42597,0.495519,C-decoupled,ss,75.0,0.000125
40,0.000225,5e-07,1.61752,0.335132,schematic,ss,0.0,0.000225
41,0.000125,3026860.0,1.42723,0.57728,C-coupled,fs,75.0,0.000125
42,0.0002,3818680.0,1.60376,0.377507,full-RC,ss,27.0,0.0002
43,0.0001,3243380.0,1.21712,0.445759,schematic,sf,27.0,0.0001
44,2.5e-05,696958.0,0.907426,0.71926,schematic,ss,50.0,2.5e-05
45,0.00025,5e-07,1.58908,0.319092,schematic,tt,-25.0,0.00025
46,0.0002,3807310.0,1.62265,0.412977,schematic,sf,75.0,0.0002
47,0.000125,3253780.0,1.39743,0.546038,C-decoupled,fs,50.0,0.000125
48,0.0002,3696250.0,1.70844,0.487054,schematic,tt,100.0,0.0002
49,0.0001,3264650.0,1.25302,0.43663,C-decoupled,ss,0.0,0.0001
50,0.000225,3614050.0,1.79427,0.472066,C-decoupled,tt,100.0,0.000225
51,0.000225,5e-07,1.56667,0.372037,schematic,fs,-25.0,0.000225
52,0.00025,3759170.0,1.77493,0.388519,full-RC,sf,75.0,0.00025
53,5e-05,1956190.0,1.01967,0.547798,full-RC,tt,-25.0,5e-05
54,2.5e-05,450178.0,0.921787,0.734067,C-coupled,fs,0.0,2.5e-05
55,0.000125,3604180.0,1.36876,0.517529,schematic,fs,27.0,0.000125
56,5e-05,1673590.0,1.06566,0.683127,full-RC,fs,27.0,5e-05
57,0.00025,3908240.0,1.77084,0.455787,C-coupled,ff,75.0,0.00025
58,0.000175,3791970.0,1.53041,0.464524,C-coupled,fs,27.0,0.000175
59,0.000125,3311870.0,1.37091,0.517563,full-RC,fs,27.0,0.000125
60,0.0002,4558300.0,1.50983,0.386377,C-decoupled,fs,-25.0,0.0002
61,0.000175,3951180.0,1.45221,0.386339,C-coupled,tt,0.0,0.000175
62,0.00025,4341430.0,1.79023,0.444593,schematic,fs,50.0,0.00025
63,5e-05,1890260.0,1.02653,0.583055,full-RC,tt,0.0,5e-05
64,5e-05,1818300.0,0.99612,0.580577,C-coupled,ff,-25.0,5e-05
65,0.0001,3163490.0,1.22467,0.467312,C-coupled,tt,0.0,0.0001
66,0.000125,3719810.0,1.27531,0.380811,schematic,sf,0.0,0.000125
67,0.0001,2783330.0,1.32479,0.620238,C-coupled,fs,75.0,0.0001
